generation,avg_fitness,max_fitness,min_fitness,median_fitness,avg_energy,unique_chromosomes,num_snakes
1,235.5,243.0,228.0,235.5,832.5,2,2
1,127.2,204.0,19.0,117.0,595.2,5,5
2,112.3,137.0,77.0,111.0,619.1,5,10
3,98.2,135.0,30.0,105.0,480.85,3,10
4,110.33333333333333,135.0,75.0,112.5,669.6666666666666,2,6
5,109.1,174.0,19.0,114.0,553.25,6,10
6,82.64285714285714,138.0,32.0,85.0,485.42857142857144,3,14
7,159.33333333333334,189.0,125.0,165.0,700.6666666666666,2,6
8,111.66666666666667,201.0,37.0,99.0,635.5,2,6
9,134.0,165.0,93.0,144.0,267.8333333333333,2,3
